,Demand,Solar,Wind,Hydro
01-01 00:00:00+01:00,5360.331884,0.57,2131.9,184.2
01-01 01:00:00+01:00,5285.045823,0.57,2281.2,199
01-01 02:00:00+01:00,5272.17265,0.57,2114.6,163.8
01-01 03:00:00+01:00,5290.598321,0.57,2055.5,167.8
01-01 04:00:00+01:00,5429.858433,0.57,1998.6,162.6
01-01 05:00:00+01:00,5700.211107,0.57,1940.7,141
01-01 06:00:00+01:00,5977.505719,0.57,1709.5,150.6
01-01 07:00:00+01:00,6016.759406,817.01,1358.9,288.6
01-01 08:00:00+01:00,6033.672232,1363.7,1165.2,251.4
01-01 09:00:00+01:00,6064.336286,1661.71,775.3,338.6
01-01 10:00:00+01:00,6056.089346,1864.6,424.2,350.6
01-01 11:00:00+01:00,6048.027883,1862.91,234.1,349.8
01-01 12:00:00+01:00,6015.797066,1829.91,194.6,350.2
01-01 13:00:00+01:00,5994.54615,1704.91,213.6,297.8
01-01 14:00:00+01:00,5966.231137,1432.81,62.02,279.8
01-01 15:00:00+01:00,5950.80087,832.31,114.91,343.8
01-01 16:00:00+01:00,6096.433272,0.57,141.9,325.6
01-01 17:00:00+01:00,6618.057226,0.57,655.8,352.6
01-01 18:00:00+01:00,6595.393766,0.57,762.5,279.4
01-01 19:00:00+01:00,6491.398154,0.57,1019.1,273.8
01-01 20:00:00+01:00,6334.819143,0.57,1248.1,279
01-01 21:00:00+01:00,6060.216875,0.57,1429.2,265.4
01-01 22:00:00+01:00,5752.115587,0.57,1554.2,277.8
01-01 23:00:00+01:00,5499.596868,0.57,1438.7,155.8
01-02 00:00:00+01:00,5328.32247,0.57,1440.5,147.4
01-02 01:00:00+01:00,5263.814285,0.57,1445.8,231
01-02 02:00:00+01:00,5232.44546,0.57,1415.9,209.8
01-02 03:00:00+01:00,5252.951536,0.57,1403.5,202.2
01-02 04:00:00+01:00,5368.176883,0.57,1415.3,200.2
01-02 05:00:00+01:00,5618.510878,0.57,1462.3,181.8
01-02 06:00:00+01:00,5886.578952,0.57,1477.4,243.2
01-02 07:00:00+01:00,5897.832072,817.01,1479.7,290.2
01-02 08:00:00+01:00,5946.199464,1359.61,1488,311.2
01-02 09:00:00+01:00,5993.705282,1746,1514.3,307
01-02 10:00:00+01:00,6034.194398,1960.3,1522.21,331.8
01-02 11:00:00+01:00,6067.146723,1877.11,1518.81,362.2
01-02 12:00:00+01:00,6066.866206,1835.81,1534.51,336.2
01-02 13:00:00+01:00,6086.692653,1698.11,1497.31,328.2
01-02 14:00:00+01:00,6073.105828,1417.01,1465.91,232.6
01-02 15:00:00+01:00,6032.972271,829.51,1525.81,231.6
01-02 16:00:00+01:00,6153.936523,0.57,1680.2,239.2
01-02 17:00:00+01:00,6582.270659,0.57,1557.7,242.4
01-02 18:00:00+01:00,6561.404825,0.57,1556.5,243.4
01-02 19:00:00+01:00,6439.128147,0.57,1516.41,254.6
01-02 20:00:00+01:00,6274.415438,0.57,1475.8,249.4
01-02 21:00:00+01:00,6006.808562,0.57,1631.1,237.6
01-02 22:00:00+01:00,5700.622537,0.57,1845.1,282.4
01-02 23:00:00+01:00,5455.88239,0.57,1851.2,198.8
01-03 00:00:00+01:00,5293.125923,0.57,1893.2,205.8
01-03 01:00:00+01:00,5217.466141,0.57,2123.5,210
01-03 02:00:00+01:00,5192.812642,0.57,2347.8,193
01-03 03:00:00+01:00,5211.587663,0.57,2372,161.6
01-03 04:00:00+01:00,5312.288249,0.57,2225.4,155.2
01-03 05:00:00+01:00,5562.166727,0.57,2200,184
01-03 06:00:00+01:00,5831.232163,0.57,2272,290
01-03 07:00:00+01:00,5863.668974,804.61,2262.9,290.4
01-03 08:00:00+01:00,5958.012427,1477.1,2090.9,284
01-03 09:00:00+01:00,6012.075719,1954.4,1964,228.4
01-03 10:00:00+01:00,6075.035887,2132.3,1899.9,161.4
01-03 11:00:00+01:00,6112.101666,1966.2,2061.4,160.4
01-03 12:00:00+01:00,6112.642992,2084.2,1749.3,233.2
01-03 13:00:00+01:00,6119.639755,1990.6,1850.7,240.4
01-03 14:00:00+01:00,6108.301565,1681.5,1685.8,228.4
01-03 15:00:00+01:00,6066.396778,938.2,1553.6,244.8
01-03 16:00:00+01:00,6017.312271,0.57,1314.9,162
01-03 17:00:00+01:00,6493.799923,0.57,507.3,215.2
01-03 18:00:00+01:00,6413.271818,0.57,537,222.2
01-03 19:00:00+01:00,6270.842913,0.57,748.8,207.6
01-03 20:00:00+01:00,6116.27911,0.57,1211.8,220.6
01-03 21:00:00+01:00,5925.706211,0.57,1362.3,222.2
01-03 22:00:00+01:00,5687.051069,0.57,1287.5,296.2
01-03 23:00:00+01:00,5472.957869,0.57,1070.5,179
01-04 00:00:00+01:00,5298.427365,0.57,475.4,215.4
01-04 01:00:00+01:00,5222.548177,0.57,266.1,216.4
01-04 02:00:00+01:00,5186.80343,0.57,149.6,192.4
01-04 03:00:00+01:00,5172.663207,0.57,202.5,184.4
01-04 04:00:00+01:00,5226.491962,0.57,310.9,169
01-04 05:00:00+01:00,5341.219552,0.57,289.4,189.2
01-04 06:00:00+01:00,5465.20588,0.57,188,268.2
01-04 07:00:00+01:00,5490.286948,822.91,217.1,200.4
01-04 08:00:00+01:00,5580.809656,1505.8,195.1,175.2
01-04 09:00:00+01:00,5657.943128,1982.5,160.01,181.4
01-04 10:00:00+01:00,5684.355578,2165.8,156.92,156
01-04 11:00:00+01:00,5660.661643,2025.8,299.61,192.6
01-04 12:00:00+01:00,5649.762465,2181.7,535.4,246.2
01-04 13:00:00+01:00,5592.194234,2030.1,820,252.6
01-04 14:00:00+01:00,5559.14075,1677.1,1373,234
01-04 15:00:00+01:00,5531.580605,878.91,1209.1,225.4
01-04 16:00:00+01:00,5684.595508,0.57,757.1,194.8
01-04 17:00:00+01:00,6114.928697,0.57,1008.5,231
01-04 18:00:00+01:00,6137.322064,0.57,1468.1,261.8
01-04 19:00:00+01:00,6053.511607,0.57,1945.4,268.8
01-04 20:00:00+01:00,5939.378088,0.57,2280,272.8
01-04 21:00:00+01:00,5782.368891,0.57,2463.3,283.2
01-04 22:00:00+01:00,5589.576155,0.57,2490.1,171.2
01-04 23:00:00+01:00,5429.19868,0.57,2362.9,174.4
01-05 00:00:00+01:00,5282.312109,0.57,2369.6,151.6
01-05 01:00:00+01:00,5214.29604,0.57,2412.8,147.4
01-05 02:00:00+01:00,5182.440943,0.57,2387.8,111.4
01-05 03:00:00+01:00,5185.548809,0.57,2399.5,125
01-05 04:00:00+01:00,5225.020143,0.57,2383.8,134.6
01-05 05:00:00+01:00,5308.675067,0.57,2380.2,135.8
01-05 06:00:00+01:00,5409.69325,0.57,2401.7,120.4
01-05 07:00:00+01:00,5405.102046,822.41,2328.1,208.4
01-05 08:00:00+01:00,5452.320537,1515.7,2204,161.6
01-05 09:00:00+01:00,5495.828025,1982.7,2320.3,169.4
01-05 10:00:00+01:00,5503.810287,2076.6,2105.1,169.2
