,Weight
st1,1.0
st10,1.0
st11,1.0
st12,1.0
st13,9.0
st14,3.0
st15,8.0
st16,1.0
st17,2.0
st18,1.0
st19,11.0
st2,11.0
st20,1.0
st21,2.0
st22,1.0
st23,9.0
st24,4.0
st25,5.0
st26,1.0
st27,1.0
st28,2.0
st29,1.0
st3,1.0
st30,1.0
st31,3.0
st32,1.0
st33,1.0
st34,1.0
st35,3.0
st36,2.0
st37,1.0
st38,3.0
st39,1.0
st4,5.0
st40,9.0
st41,2.0
st42,5.0
st43,3.0
st44,1.0
st45,4.0
st46,15.0
st47,13.0
st48,7.0
st49,1.0
st5,1.0
st50,2.0
st51,3.0
st52,4.0
st53,4.0
st54,2.0
st55,3.0
st56,36.0
st57,3.0
st58,16.0
st59,2.0
st6,2.0
st60,6.0
st61,2.0
st62,10.0
st63,8.0
st64,3.0
st65,4.0
st66,36.0
st67,1.0
st68,2.0
st69,9.0
st7,11.0
st70,9.0
st8,1.0
st9,24.0
